
---
### overall

0.030 sysmaintmap


---
### services: Creative

0.990 fragmentalleap
0.970 journeyful
0.960 fabricapi
0.941 fabricweb
0.941 kinstnerphoto
0.931 fragmental
0.901 idashapp
0.883 weaver
0.874 rexconnect
0.842 idashhtml
0.802 trellovision
0.792 hardlines
0.774 aei2009
0.750 alifesim
0.714 idashboards
0.686 gvsuamasite
0.620 harrisicons
0.600 actionoffice
0.580 portfolio
0.578 aei2007
0.550 skins
0.540 dormtshirts
0.518 rotator
0.500 art
0.425 lessonvision
0.300 illandlev
0.297 sketchtracer
0.288 footvolley
0.258 dtmkiosk
0.238 briankelly
0.200 illumballs
0.190 oldportfolio
0.168 homelink
0.168 teneo


---
### services: Communication

0.960 fragmentalleap
0.951 journeyful
0.950 fabricweb
0.941 fabricapi
0.921 weaver
0.912 kinstnerphoto
0.911 rexconnect
0.846 fragmental
0.768 hardlines
0.758 aei2009
0.742 idashhtml
0.682 idashapp
0.630 idashboards
0.566 aei2007
0.557 portfolio
0.468 lessonvision
0.375 alifesim
0.344 dtmkiosk
0.243 trellovision
0.216 footvolley
0.216 dormtshirts
0.210 gvsuamasite
0.204 briankelly
0.201 teneo
0.198 1100rooms
0.186 harrisicons
0.150 oldportfolio
0.122 rotator
0.120 actionoffice
0.114 harriscalc
0.111 spechealth
0.105 siennabakery
0.099 zkmusic
0.090 oakwoodmaps
0.084 homelink
0.075 elexiconblog
0.045 sysmaintmap


---
### services: Project Management

0.970 fragmentalleap
0.960 journeyful
0.951 fabricapi
0.922 fabricweb
0.921 kinstnerphoto
0.912 fragmental
0.837 weaver
0.828 rexconnect
0.786 trellovision
0.776 hardlines
0.766 aei2009
0.735 alifesim
0.679 gvsuamasite
0.572 aei2007
0.563 portfolio
0.458 rotator
0.396 idashhtml
0.212 lessonvision
0.182 idashapp
0.172 dtmkiosk
0.168 idashboards
0.144 footvolley
0.144 dormtshirts
0.136 briankelly
0.134 teneo
0.132 1100rooms
0.124 harrisicons
0.120 actionoffice
0.084 homelink
0.076 harriscalc
0.074 spechealth
0.070 siennabakery
0.060 oakwoodmaps
0.050 elexiconblog
0.030 sysmaintmap


---
### skills: Mobile

0.931 fragmental
0.768 fabricweb
0.617 kinstnerphoto


---
### skills: User Interface

0.980 fragmentalleap
0.971 journeyful
0.912 fabricweb
0.902 kinstnerphoto
0.865 fragmental
0.817 dtmkiosk
0.807 lessonvision
0.800 hardlines
0.790 aei2009
0.720 dormtshirts
0.700 gvsuamasite
0.643 idashhtml
0.610 rotator
0.608 trellovision
0.592 idashapp
0.590 aei2007
0.580 portfolio
0.576 footvolley
0.546 idashboards
0.544 briankelly
0.536 teneo
0.528 1100rooms
0.378 homelink
0.370 spechealth
0.368 rexconnect
0.342 harriscalc
0.280 siennabakery
0.270 oakwoodmaps
0.210 sketchtracer
0.200 oldportfolio
0.100 zkmusic
0.090 sysmaintmap
0.075 elexiconblog


---
### skills: User Experience

1.000 fragmentalleap
0.970 journeyful
0.950 kinstnerphoto
0.941 idashhtml
0.940 fragmental
0.864 idashapp
0.864 fabricweb
0.798 idashboards
0.782 aei2009
0.782 lessonvision
0.776 fabricapi
0.689 trellovision
0.684 footvolley
0.640 hardlines
0.602 dtmkiosk
0.598 rotator
0.584 aei2007
0.560 gvsuamasite
0.504 dormtshirts
0.469 teneo
0.450 actionoffice
0.385 skins
0.340 briankelly
0.248 harrisicons
0.240 illandlev
0.174 portfolio
0.120 sketchtracer
0.100 art
0.080 illumballs
0.080 oldportfolio
0.030 zkmusic


---
### skills: Responsive Layout

0.941 kinstnerphoto
0.931 idashhtml
0.864 fabricweb
0.855 idashapp
0.850 fragmentalleap
0.790 idashboards
0.752 fragmental
0.680 lessonvision
0.588 journeyful
0.527 trellovision
0.220 skins


---
### skills: 3D Graphics

0.990 fragmentalleap
0.931 fragmental
0.735 alifesim
0.620 harrisicons
0.588 idashboards
0.550 skins
0.406 portfolio
0.244 rotator
0.210 gvsuamasite
0.200 art
0.200 illumballs
0.192 fabricweb
0.120 illandlev
0.040 oldportfolio


---
### skills: Animation

0.900 fragmentalleap
0.846 fragmental
0.714 idashboards
0.648 footvolley
0.645 dtmkiosk
0.637 journeyful
0.632 aei2009
0.604 rotator
0.600 actionoffice
0.510 lessonvision
0.503 teneo
0.472 aei2007
0.464 portfolio
0.320 hardlines
0.300 sketchtracer
0.288 fabricweb
0.288 dormtshirts
0.280 gvsuamasite
0.275 skins
0.272 briankelly
0.182 idashapp
0.180 illandlev
0.168 homelink
0.140 illumballs
0.120 oakwoodmaps
0.120 oldportfolio
0.120 sysmaintmap
0.060 zkmusic


---
### skills: Data Visualization

0.855 kinstnerphoto
0.851 idashhtml
0.810 trellovision
0.783 idashapp
0.742 alifesim
0.722 idashboards
0.680 hardlines
0.588 journeyful
0.522 portfolio
0.384 fabricweb
0.361 harriscalc


---
### skills: Algorithms

0.950 fragmentalleap
0.893 fragmental
0.873 fabricapi
0.750 alifesim
0.735 journeyful
0.728 idashapp
0.560 hardlines
0.546 idashboards
0.432 dormtshirts
0.396 idashhtml
0.380 harriscalc
0.372 weaver
0.100 illumballs


---
### skills: Pixel-Perfect

0.784 journeyful
0.774 dtmkiosk
0.722 lessonvision
0.648 footvolley
0.636 teneo
0.627 1100rooms
0.612 briankelly
0.594 actionoffice
0.420 homelink
0.360 dormtshirts
0.350 siennabakery
0.333 spechealth
0.300 oakwoodmaps
0.250 elexiconblog
0.150 sysmaintmap


---
### skills: Database

0.951 fabricapi
0.912 kinstnerphoto
0.883 fabricweb
0.760 hardlines
0.630 gvsuamasite
0.580 rotator
0.325 aei2007
0.245 journeyful


---
### skills: Server-Side

0.960 fabricapi
0.941 fabricweb
0.921 kinstnerphoto
0.920 rexconnect
0.720 hardlines
0.713 dormtshirts
0.665 gvsuamasite
0.592 rotator
0.295 aei2007


---
### skills: Web Service

0.970 fabricapi


---
### skills: Technical Writing

0.960 fragmentalleap
0.941 fabricapi
0.941 fabricweb
0.931 journeyful
0.930 weaver
0.911 rexconnect
0.792 idashhtml
0.682 idashapp
0.672 idashboards
0.645 dtmkiosk
0.595 lessonvision
0.563 alifesim
0.520 hardlines


---
### skills: Content Creation

0.970 fragmentalleap
0.960 fabricweb
0.931 kinstnerphoto
0.921 fragmental
0.774 aei2009
0.600 hardlines
0.578 aei2007
0.493 portfolio
0.392 journeyful
0.100 oldportfolio
0.080 zkmusic


---
### languages: C#

1.000 fragmentalleap
0.970 fabricapi
0.960 fabricweb
0.950 kinstnerphoto
0.930 weaver
0.343 journeyful


---
### languages: Javascript

0.990 idashhtml
0.941 kinstnerphoto
0.810 trellovision
0.768 fabricweb
0.588 journeyful
0.264 1100rooms
0.180 dormtshirts


---
### languages: HTML

0.941 fabricweb
0.931 kinstnerphoto
0.784 hardlines
0.729 trellovision
0.700 gvsuamasite
0.660 1100rooms
0.655 dormtshirts
0.539 journeyful
0.237 elexiconblog
0.188 fragmental


---
### languages: CSS

0.931 fabricweb
0.921 kinstnerphoto
0.776 hardlines
0.693 gvsuamasite
0.653 1100rooms
0.648 trellovision
0.648 dormtshirts
0.539 journeyful
0.225 elexiconblog
0.188 fragmental


---
### languages: Objective-C

0.926 fragmental
0.910 idashapp


---
### languages: ActionScript

0.975 journeyful
0.860 dtmkiosk
0.850 lessonvision
0.840 idashboards
0.800 hardlines
0.790 aei2009
0.720 footvolley
0.720 dormtshirts
0.680 briankelly
0.670 teneo
0.610 rotator
0.590 aei2007
0.580 portfolio
0.561 1100rooms
0.380 harriscalc
0.370 spechealth
0.350 siennabakery
0.300 illandlev
0.300 sketchtracer
0.300 oakwoodmaps
0.210 gvsuamasite
0.200 illumballs
0.200 oldportfolio
0.180 actionoffice
0.150 sysmaintmap
0.100 zkmusic


---
### languages: SQL

0.855 kinstnerphoto
0.792 hardlines
0.706 dormtshirts
0.598 rotator
0.490 journeyful
0.388 fabricapi
0.295 aei2007
0.280 gvsuamasite


---
### languages: Gremlin

0.960 fabricapi
0.950 fabricweb
0.921 weaver
0.368 rexconnect


---
### languages: Java

0.920 rexconnect


---
### languages: PHP

0.713 dormtshirts
0.604 rotator
0.250 elexiconblog
0.170 lessonvision


---
### languages: C++

0.750 alifesim


---
### products: jQuery

0.941 kinstnerphoto
0.931 fabricweb
0.802 trellovision
0.588 journeyful


---
### products: AngularJS

0.810 trellovision
0.588 journeyful


---
### products: Foundation

0.950 kinstnerphoto
0.941 fabricweb
0.648 trellovision
0.588 journeyful


---
### products: KineticJS

0.990 idashhtml
0.864 fabricweb


---
### products: d3.js

0.588 journeyful


---
### products: Flex

0.504 idashboards


---
### products: .NET

0.960 fabricweb
0.951 fabricapi
0.930 weaver
0.902 kinstnerphoto
0.900 fragmentalleap
0.400 hardlines
0.350 gvsuamasite
0.343 journeyful


---
### products: Cocoa

0.470 fragmental


---
### products: NHibernate

0.931 kinstnerphoto
0.398 fabricapi
0.384 fabricweb
0.235 journeyful


---
### products: OpenGL

0.940 fragmental
0.750 alifesim


---
### products: OpenAL

0.705 fragmental


---
### products: Flash

0.980 journeyful
0.860 dtmkiosk
0.850 lessonvision
0.840 idashboards
0.800 hardlines
0.790 aei2009
0.720 footvolley
0.720 dormtshirts
0.680 briankelly
0.670 teneo
0.610 rotator
0.600 actionoffice
0.590 aei2007
0.580 portfolio
0.420 homelink
0.380 harriscalc
0.370 spechealth
0.350 siennabakery
0.300 illandlev
0.300 sketchtracer
0.300 oakwoodmaps
0.264 1100rooms
0.210 gvsuamasite
0.200 illumballs
0.200 oldportfolio
0.150 sysmaintmap
0.100 zkmusic


---
### products: Mono

0.950 fabricweb
0.912 kinstnerphoto
0.883 fabricapi


---
### products: Unity 3D

1.000 fragmentalleap


---
### products: SQL Server

0.792 hardlines
0.560 gvsuamasite
0.295 aei2007


---
### products: MySQL

0.921 kinstnerphoto
0.713 dormtshirts
0.604 rotator
0.388 fabricapi
0.245 journeyful


---
### products: Titan Graph Database

0.970 fabricapi
0.672 fabricweb


---
### products: Cassandra

0.873 fabricapi


---
### products: Rexster

0.960 fabricapi
0.920 rexconnect
0.768 fabricweb


---
### systems: Windows

1.000 fragmentalleap
0.750 alifesim
0.550 skins


---
### systems: Mac

1.000 fragmentalleap


---
### systems: iOS

0.940 fragmental
0.910 idashapp


---
### systems: Linux

0.960 fabricapi
0.950 fabricweb
0.941 kinstnerphoto


---
### systems: Web

0.990 idashhtml
0.980 journeyful
0.970 fabricapi
0.960 fabricweb
0.950 kinstnerphoto
0.850 lessonvision
0.810 trellovision
0.800 hardlines
0.790 aei2009
0.720 footvolley
0.720 dormtshirts
0.700 gvsuamasite
0.680 briankelly
0.660 1100rooms
0.590 aei2007
0.250 elexiconblog
0.235 fragmental
0.100 zkmusic


---
### systems: Flash Player

0.970 journeyful
0.860 dtmkiosk
0.842 lessonvision
0.840 idashboards
0.792 hardlines
0.782 aei2009
0.713 footvolley
0.673 briankelly
0.670 teneo
0.648 dormtshirts
0.610 rotator
0.600 actionoffice
0.584 aei2007
0.580 portfolio
0.420 homelink
0.380 harriscalc
0.370 spechealth
0.350 siennabakery
0.300 illandlev
0.300 sketchtracer
0.300 oakwoodmaps
0.264 1100rooms
0.210 gvsuamasite
0.200 illumballs
0.200 oldportfolio
0.150 sysmaintmap
0.099 zkmusic


---
### teams: One-Man Team

1.000 fragmentalleap
0.970 fabricapi
0.960 fabricweb
0.950 kinstnerphoto
0.941 idashhtml
0.940 fragmental
0.930 weaver
0.920 rexconnect
0.910 idashapp
0.882 journeyful
0.860 dtmkiosk
0.810 trellovision
0.800 hardlines
0.798 idashboards
0.790 aei2009
0.765 lessonvision
0.750 alifesim
0.720 footvolley
0.720 dormtshirts
0.700 gvsuamasite
0.680 briankelly
0.670 teneo
0.660 1100rooms
0.620 harrisicons
0.610 rotator
0.590 aei2007
0.580 portfolio
0.550 skins
0.500 art
0.380 harriscalc
0.300 illandlev
0.300 sketchtracer
0.259 spechealth
0.252 homelink
0.200 illumballs
0.200 oldportfolio
0.180 actionoffice
0.140 siennabakery
0.120 oakwoodmaps
0.100 elexiconblog
0.100 zkmusic
0.060 sysmaintmap


---
### teams: Design Team

0.688 dtmkiosk
0.686 journeyful
0.648 footvolley
0.612 briankelly
0.603 teneo
0.600 actionoffice
0.594 1100rooms
0.510 lessonvision
0.420 homelink
0.288 dormtshirts
0.210 siennabakery
0.190 harriscalc
0.180 oakwoodmaps
0.150 elexiconblog
0.111 spechealth
0.090 sysmaintmap


---
### teams: Dev Team

0.891 idashhtml
0.784 journeyful
0.756 idashboards
0.731 dtmkiosk
0.595 lessonvision

