
---
### overall

1.000 fragmentalleap
0.990 idashhtml
0.980 journeyful
0.970 fabricapi
0.960 fabricweb
0.950 kinstnerphoto
0.940 fragmental
0.930 weaver
0.920 rexconnect
0.910 idashapp
0.860 dtmkiosk
0.850 lessonvision
0.840 idashboards
0.810 trellovision
0.800 hardlines
0.790 aei2009
0.750 alifesim
0.720 footvolley
0.720 dormtshirts
0.700 gvsuamasite
0.680 briankelly
0.670 teneo
0.660 1100rooms
0.620 harrisicons
0.610 rotator
0.600 actionoffice
0.590 aei2007
0.580 portfolio
0.550 skins
0.500 art
0.420 homelink
0.380 harriscalc
0.370 spechealth
0.350 siennabakery
0.300 illandlev
0.300 sketchtracer
0.300 oakwoodmaps
0.250 elexiconblog
0.200 illumballs
0.200 oldportfolio
0.150 sysmaintmap
0.100 zkmusic


---
### services: Development

1.000 fragmentalleap
0.990 idashhtml
0.980 journeyful
0.970 fabricapi
0.960 fabricweb
0.950 kinstnerphoto
0.940 fragmental
0.930 weaver
0.920 rexconnect
0.910 idashapp
0.860 dtmkiosk
0.850 lessonvision
0.840 idashboards
0.810 trellovision
0.800 hardlines
0.790 aei2009
0.742 alifesim
0.720 footvolley
0.720 dormtshirts
0.700 gvsuamasite
0.680 briankelly
0.670 teneo
0.660 1100rooms
0.610 rotator
0.590 aei2007
0.568 portfolio
0.420 homelink
0.380 harriscalc
0.370 spechealth
0.350 siennabakery
0.300 sketchtracer
0.300 oakwoodmaps
0.270 illandlev
0.250 elexiconblog
0.190 illumballs
0.180 oldportfolio
0.150 sysmaintmap
0.050 zkmusic


---
### services: Design

0.980 fragmentalleap
0.941 idashhtml
0.931 fabricweb
0.931 kinstnerphoto
0.921 fragmental
0.882 journeyful
0.819 idashapp
0.798 idashboards
0.784 hardlines
0.782 aei2009
0.729 trellovision
0.728 alifesim
0.693 gvsuamasite
0.614 harrisicons
0.604 rotator
0.584 aei2007
0.574 portfolio
0.544 skins
0.510 lessonvision
0.495 art
0.432 dormtshirts
0.430 dtmkiosk
0.300 actionoffice
0.297 illandlev
0.294 sketchtracer
0.200 oldportfolio
0.198 illumballs
0.144 footvolley
0.136 briankelly
0.134 teneo
0.132 1100rooms
0.100 zkmusic
0.076 harriscalc
0.074 spechealth
0.070 siennabakery
0.060 oakwoodmaps
0.050 elexiconblog
